path,namespace,methods
/wc/gla/assets/final-url/suggestions,wc/gla,GET
/wc/gla/mc/syncable-products-count,wc/gla,GET,POST
/wc/gla/mc/policy_check,wc/gla,GET
/wc/gla/mc/mapping/attributes,wc/gla,GET
/wc/gla/mc/mapping/sources,wc/gla,GET
/wc/gla/mc/mapping/rules,wc/gla,GET,POST
/wc/gla/mc/mapping/rules/(?P<id>[\d]+),wc/gla,POST,PUT,PATCH,DELETE
/wc/gla/mc/mapping/categories,wc/gla,GET
/wc/gla/mc/mapping/sync,wc/gla,GET
/wc/gla/tours/(?P<id>[a-zA-z0-9-_]+),wc/gla,GET
/wc/gla/tours,wc/gla,POST
/wc/gla/rest-api/authorize,wc/gla,GET,DELETE,POST,PUT,PATCH
/wc/gla/gtin-migration,wc/gla,POST,GET
/google-site-kit/v1,google-site-kit/v1,GET
/google-site-kit/v1/core/site/data/setup-tag,google-site-kit/v1,POST,PUT,PATCH
/google-site-kit/v1/core/site/data/connection,google-site-kit/v1,GET
/google-site-kit/v1/core/user/data/authentication,google-site-kit/v1,GET
/google-site-kit/v1/core/user/data/disconnect,google-site-kit/v1,POST,PUT,PATCH
/google-site-kit/v1/core/user/data/user-input-settings,google-site-kit/v1,GET,POST
/google-site-kit/v1/core/modules/data/list,google-site-kit/v1,GET
/google-site-kit/v1/core/modules/data/activation,google-site-kit/v1,POST,PUT,PATCH
/google-site-kit/v1/core/modules/data/info,google-site-kit/v1,GET
/google-site-kit/v1/core/modules/data/check-access,google-site-kit/v1,POST,PUT,PATCH
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/notifications,google-site-kit/v1,GET
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/settings,google-site-kit/v1,GET,POST,PUT,PATCH
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/data-available,google-site-kit/v1,POST
/google-site-kit/v1/modules/(?P<slug>[a-z0-9\-]+)/data/(?P<datapoint>[a-z\-]+),google-site-kit/v1,GET,POST,PUT,PATCH
/google-site-kit/v1/core/modules/data/recover-modules,google-site-kit/v1,POST,PUT,PATCH
